mU	mW	eP	robustness	minRange	maxRange	min(CoRa)	optimalRho	negative_sol	oscilations	other_errors	negative_CoRa	Greater_CoRa	steady_state	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
649.3816	3.6517	0.1155	0.5333333333333333	0.7880462815669912	1000.0	0.0011096969224773368	148.73521072935117	0.0	0.0	0.0	51087.32931029101	0.0	0.0	0.9884886683688201	0.9815930707509901	0.9706893305995021	0.9536316930266939	0.9273898729616277	0.8880405415875453	0.8312475749353326	0.7536386316862285	0.655145858753259	0.5412466429206981	0.422868130334003	0.31273064193659217	0.22032740569787762	0.14929581530182948	0.09827822730491269	0.06339665625595625	0.04034414558633396	0.025450601500182444	0.015970745598057983	0.009997163080912414	0.006262142924775222	0.003946731732640921	0.0025329624119300133	0.001700662729192646	0.0012599273837774348	0.0011096969224773368	0.0012152324188638734	0.001600088848906503	0.00235074232572028	0.0036341724174116016
20.5353	0.1155	3.6517	0.5333333333333333	0.7880462815669912	1000.0	0.006353549493483129	22.122162910704493	0.0	0.0	0.0	1645.348106322321	0.0	0.0	0.9884906581097096	0.981594282816231	0.9706902138071674	0.9536325071183184	0.927390825680143	0.888041860361168	0.8312495674032885	0.75364175965123	0.6551508460037917	0.5412546429886658	0.4228809933691267	0.31275134251192843	0.22036073039818263	0.14934946875898128	0.0983646115054271	0.06353573208359235	0.04056803179708639	0.025810957649745937	0.016550602177308898	0.010929820771552499	0.007761218540894771	0.006353549493483129	0.006390348577310363	0.00786545164930106	0.01106855109827471	0.016607622789701428	0.025441771220379775	0.038868775484083726	0.058369346746929264	0.08519703918947863
0.0205	115.4782	0.0037	0.0	NaN	NaN	0.11125895821634146	2.043359717856942	0.0	0.0	0.0	NaN	0.0	0.0	0.9999313572563293	0.9998885160452049	0.9998179746416792	0.99970021615574	0.9994991957630379	0.9991432625527222	0.9984736411444846	0.9970771606290985	0.9935768178412607	0.9809572223663863	0.8775801784749692	0.3974309354954234	0.2478415831902734	0.1746538271588331	0.13178939124112815	0.11196277861874986	0.11125895821634146	0.12657825200549735	0.15470988257912413	0.19172618212058415	0.23312061024676548	0.2746304934396609	0.3130747768797804	0.3466591559373481	0.37476210900879814	0.39751586526467464	0.4154300535438996	0.429142965385263	0.4392885807803153	0.4464408785396943
0.0087	0.0087	1.5399	0.1	2.043359717856942	5.298316906283709	0.08776517406770629	3.2903445623126686	0.0	0.0	0.0	3.5640767513918092	0.0	0.0	0.9999946118129149	0.9999912626904652	0.9999857710592498	0.9999766669706622	0.999961307197799	0.9999346599044396	0.9998863392825127	0.9997923753645315	0.9995882671738586	0.9990580138504318	0.9971828869248396	0.9848663870758009	0.7088965875359889	0.22575638068456855	0.1403844844531171	0.10530444052654434	0.09019916588786223	0.08776517406770629	0.09477620432707547	0.10960204556172887	0.13132459265384813	0.15913710049022847	0.19189653305629675	0.22791705141652652	0.26509613857445674	0.30130843563898446	0.334834602306445	0.364601890816118	0.3901808934392005	0.41162845075598237
8.6596	8.6596	0.0015	0.4666666666666667	0.7880462815669912	385.6620421163472	0.00969097801682249	22.122162910704493	0.0	0.0	0.0	694.2505932773262	0.0	0.0	0.9885064460918361	0.9816012081705828	0.9706939849473926	0.9536350079421837	0.9273929374424743	0.8880441720739047	0.8312526491685861	0.753646337125471	0.6551579825852386	0.5412659907728569	0.4228991768552797	0.3127805656112113	0.22040774720212356	0.14942514112535246	0.0984864093128478	0.0637317428388576	0.04088337694039955	0.02631802212721086	0.017365244211190723	0.012236802021015979	0.009853445991009208	0.00969097801682249	0.011684272790482161	0.01618905225237431	0.02397782052606598	0.03621714141860183	0.05433170867432367	0.07963654414279946	0.11270305107634644	0.15269554064787108
273.842	0.2738	48.6968	0.5333333333333333	0.7880462815669912	1000.0	0.0017126329252129696	92.36708571873861	0.0	0.0	0.0	21562.085988221555	0.0	0.0	0.9884886798702641	0.9815930827215706	0.9706893458530369	0.9536317151082753	0.927389906984845	0.8880405954238082	0.8312476610367592	0.7536387699666418	0.6551460811940378	0.5412470009674973	0.4228687067949034	0.3127315701329393	0.2203289002972114	0.14929822196106263	0.09828210260152923	0.06340289638095588	0.04035419353257022	0.025466780584298198	0.015996796244922767	0.010039106480165403	0.006329669912687399	0.004055434513588871	0.0027079159455823346	0.0019821599988762767	0.0017126329252129696	0.0018371761974148597	0.0023828098752643545	0.0034702874609837077	0.005336908397669598	0.008378306286032972
0.2738	273.842	0.0487	0.2	1.2689610031679222	13.73823795883263	0.048633768845317484	3.2903445623126686	0.0	0.0	0.0	24.889859783472655	0.0	0.0	0.9999167765597933	0.9998473464745208	0.9996911656863808	0.9992365607052269	0.9968493712745945	0.934907615916995	0.8341119834374371	0.7545588969220381	0.6557811010079013	0.5419435760420961	0.42383376288035335	0.31420009322089604	0.2226404145258835	0.1529771732917994	0.10414995983463685	0.07274096023778175	0.05513177649775875	0.048633768845317484	0.05179568567476417	0.06420406172101802	0.08592787680275636	0.11670070119722335	0.15512423900854136	0.19841034569853777	0.24296676243959564	0.2854535786811083	0.3235780433870852	0.35627128176838446	0.38342064746543253	0.4054822502401563
0.0487	0.0487	0.0087	0.1	1.2689610031679222	3.2903445623126686	0.08985643528788881	2.043359717856942	0.0	0.0	0.0	6.659464418185304	0.0	0.0	0.9999295932090722	0.9998842459683714	0.9998071799296533	0.9996717137503821	0.9994199039186201	0.9989053073090278	0.997660785324975	0.9934679797649335	0.9615418805849701	0.604254036182853	0.4343835806802818	0.3207296083903039	0.22996103052706637	0.16325076683443793	0.11956075249867121	0.09606367800541901	0.08985643528788881	0.0986625937972005	0.1205241743228799	0.1530208364290442	0.19275020363770584	0.2356063439439877	0.27769368685976076	0.3161657931004131	0.34949517786894313	0.37724410737354125	0.3996586870066788	0.4173172458948165	0.43090423230645547	0.44109300783289124
48.6968	48.6968	8.6596	0.5333333333333333	0.7880462815669912	1000.0	0.004099122434837423	35.62247890262442	0.0	0.0	0.0	3860.374532859906	0.0	0.0	0.9884889905578801	0.9815933065821377	0.9706895445659697	0.9536319382170879	0.9273902074199875	0.8880410431702115	0.8312483598385524	0.7536398815131878	0.6551478625866383	0.5412498642052855	0.4228733140621649	0.31273898692664087	0.2203408417882495	0.14931744950359335	0.09831306192451635	0.06345274462061609	0.040434451491530486	0.025595989383571285	0.016204785115791098	0.010373838877661988	0.00686819999380842	0.004921375739676292	0.004099122434837423	0.00421415643342403	0.005285647992611367	0.007536833729866627	0.011424529433285417	0.01768986685533257	0.0274034989201352	0.041944708221665565
1.5399	0.0015	0.2738	0.36666666666666664	0.7880462815669912	92.36708571873861	0.022131924002451737	8.531678524172808	0.0	0.0	0.0	126.46788737240163	0.0	0.0	0.9997015067045644	0.9969138504937098	0.9717986702124305	0.9538304504754077	0.9274702920895755	0.8880898973866115	0.8312911131317486	0.7536901877812748	0.6552185431086616	0.5413576637002978	0.42304328457040313	0.31301042528132955	0.22077637053840649	0.15001735007854797	0.09943803315581415	0.06525993267173126	0.04333400073568871	0.03023845072351321	0.023612780165436886	0.022131924002451737	0.02537651041368191	0.033688527683133886	0.04798056626587527	0.06939171958341799	0.09869810902179467	0.13557993675643595	0.1781665130179896	0.22332940470430063	0.26766022264992206	0.30847151967866476
