mU	mW	eP	robustness	minRange	maxRange	min_CoRa	optimalRho	negative_sol	oscilations	other_errors	negative_CoRa	Greater_CoRa	not_same	steady_state	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
649.3816	3.6517	0.1155	0.16666666666666666	0.001	0.006723357536499335	0.006615933620366119	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.00577087911838202	0.006615933620366119	0.01216468215120388	0.023223783902643184	0.045377491407934255	0.08762355654843511	0.1581434253043748	0.2527400258991091	0.3516881922808554	0.43638767291415964	0.5007911613234702	0.5472321218748102	0.5801719256147255	0.6035349781124387	0.6202078374822165	0.6321987194857495	0.6408870790824224	0.6472238069638456	0.651870346228555	0.655291464477768	0.6578167576359498	0.6596817491040327	0.6610557083860483	0.662060738106717	0.662785033162868	0.6632921867264672	0.6636277731316147	0.6638240287875099	0.6639031883403624	0.6638798597469828	0.663762705634997
20.5353	0.1155	3.6517	0.3	0.001	0.04520353656360243	0.0007563147253077866	0.0016102620275609393	0.0	0.0	0.0	0.0	0.0	0.0	0.005686462549416364	0.0008063536080977161	0.0007563147253077866	0.000995083335277239	0.00175260836280173	0.003644174026679697	0.008195829422102242	0.019003804246472876	0.043658886020176514	0.09427639568163214	0.1790966707703658	0.2860835970539212	0.38832972889235823	0.46921148005701163	0.5275070770897174	0.5681607630201526	0.5963623638650497	0.6160191389642519	0.6298143194763413	0.6395503753471597	0.646441077223058	0.6513121893058406	0.6547318447666093	0.6570945523001026	0.65867584685029	0.6596684020038367	0.6602062845287814	0.6603814815534118	0.6602552914948193	0.6598662377304936	0.6592355918759549
0.0205	115.4782	0.0037	0.8333333333333334	0.006723357536499335	621.0169418915616	0.0006121724842507099	2.043359717856942	0.0	0.0	0.0	0.0	0.0	0.0	5636.44500431065	0.37870461739066164	0.2745964067865801	0.1903396654288711	0.1273955136475831	0.08312952916631483	0.05330545537585972	0.03378786289711627	0.021257664620106805	0.013312832162433301	0.008316254024787011	0.005191887463053101	0.0032483812425964107	0.002048432734072774	0.0013192530510279356	0.0008940306590091515	0.0006751255514439974	0.0006121724842507099	0.0006906886600785558	0.0009287988683267561	0.001381392413689392	0.002152635860264375	0.0034195450231683435	0.005471509635083937	0.008773330322890401	0.014061791825718546	0.02248477065687637	0.03577617314736852	0.05639946579210891	0.08743393428256596	0.13173462231238517
0.0087	0.0087	1.5399	0.43333333333333335	0.017433288221999882	5.298316906283709	0.004627047816207862	0.48939009184774934	0.0	0.0	0.0	0.0	0.0	0.0	0.9933446603022456	0.5895273272727156	0.47144102545225025	0.3564670250153383	0.25595461648155615	0.17603181815138627	0.11713837637752536	0.07613237967801703	0.04869827947584264	0.030837827715263787	0.01943073232942987	0.012268245762693971	0.007897496362143241	0.005461287279431355	0.004627047816207862	0.005691597376168134	0.010031365834651897	0.021203674101085236	0.04677006399555125	0.09853476085648481	0.18386420578024093	0.2901117155717105	0.39099960872370715	0.47072633421991117	0.5282937470956175	0.5685390812077492	0.5965383284505043	0.6161151093033799	0.6299036926969522	0.6396791658997917	0.6466402983763949
8.6596	8.6596	0.0015	0.3	0.001	0.04520353656360243	0.0035669371368340554	0.001	0.0	0.0	0.0	0.0	0.0	0.0	1.0260326485365592	0.0035669371368340554	0.004309651331261412	0.006030841289892276	0.00910139647461376	0.01416193696174637	0.022209325455755154	0.03468234015981071	0.053474470824369805	0.08073076009450804	0.1182463763166681	0.16644385856571375	0.22340314285943463	0.28486739268436023	0.3456319450658136	0.4013997084930686	0.44979433830877863	0.490235622841016	0.5232697998652605	0.5499324011210954	0.5713489376001244	0.5885452989690929	0.6023841653175681	0.6135621290154643	0.6226303404462615	0.6300208760499876	0.6360715146985475	0.6410465699720668	0.6451535245165814	0.6485559728595106	0.6513835637936425
273.842	0.2738	48.6968	0.26666666666666666	0.001	0.02807216203941177	0.00023443831515219642	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001009998930522751	0.00023443831515219642	0.00047227320324894355	0.0010820572712941425	0.002609894324469886	0.006425493241525617	0.01583069352475739	0.03802641735288128	0.08519109063525186	0.167202002008165	0.2742122154377238	0.37878788435143046	0.46227425767572317	0.5224802223086732	0.5643046568301976	0.5931308763819212	0.6130390054548205	0.6268257838353166	0.636360998608254	0.642895712195226	0.6472740347977234	0.6500701979942647	0.651676487880902	0.6523602120788642	0.6523012270213868	0.6516171293297096	0.6503805072344423	0.6486310289430062	0.6463841779867723	0.6436378639002391	0.6403777819847634
0.2738	273.842	0.0487	0.9666666666666667	0.001	621.0169418915616	0.00010980765421023014	0.7880462815669912	0.0	0.0	0.0	0.0	0.0	0.0	1000.79129137398	0.0436485362513044	0.027562568771312555	0.017297645512634827	0.010813196826872372	0.006743086192171206	0.004198737643820898	0.0026123466689484554	0.0016250522697401771	0.0010116318571087655	0.0006314210348787496	0.0003969517594334096	0.00025417711869204547	0.00017014786185409064	0.00012546178025371632	0.00010980765421023014	0.00011960368610072091	0.00015720689023803998	0.00023154741637915007	0.00036042120091433474	0.0005751911085133625	0.0009295460554063815	0.0015157724911138864	0.0024958825885472765	0.004163552243306246	0.007071563707487729	0.01229676678932872	0.02196925167408523	0.04017428578811605	0.07379528397905054	0.130917363654869
0.0487	0.0487	0.0087	0.3333333333333333	0.002592943797404667	0.18873918221350972	0.019633200349341517	0.02807216203941177	0.0	0.0	0.0	0.0	0.0	0.0	0.99400705505566	0.20456456096864484	0.13804071388536238	0.09100471405408518	0.059439746255916186	0.039250873013312995	0.02717437776533474	0.02101786622417172	0.019633200349341517	0.02288019259435747	0.031712204993402285	0.04840636622867054	0.07672003069228536	0.12115101476590535	0.18399483540681005	0.26103414448575946	0.34143832484935965	0.41425752939896704	0.4739696853244297	0.5202254932598521	0.5551140020758745	0.5811948893901786	0.6006983422359243	0.6153529437118734	0.6264381312269244	0.6348854087882144	0.6413708649346296	0.6463866638354135	0.6502930720467329	0.6533555140605035	0.6557708325274831
48.6968	48.6968	8.6596	0.6666666666666666	0.001	8.531678524172808	2.011385396089238e-5	0.02807216203941177	0.0	0.0	0.0	0.0	0.0	0.0	1.0024180578499435	0.0002569231684079942	0.0001599362431758968	9.992170180578553e-5	6.301343897683569e-5	4.0685913972097726e-5	2.779270788976481e-5	2.139335703846198e-5	2.011385396089238e-5	2.3932593830112996e-5	3.4443682471358474e-5	5.592070614661476e-5	9.810559567186223e-5	0.00018312200281981524	0.0003626347666671953	0.0007608032948049552	0.0016821133539989084	0.0038793000618600956	0.009193329948007676	0.021916895147537623	0.050819091645090096	0.10860354438890056	0.20053862505060516	0.30938699633739924	0.4081869297311185	0.4840477003715996	0.5380020146254502	0.5754447239867349	0.6013743089868623	0.6194247400512143	0.6320636034636671
1.5399	0.0015	0.2738	0.06666666666666667	0.001	0.0016102620275609393	0.03975005247289946	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0010048877889068618	0.03975005247289946	0.07232475345235018	0.13475353392976802	0.22690910628951746	0.32987937161474973	0.4210459041989973	0.49103870887787765	0.5413747973371562	0.5768143948310261	0.601732547309771	0.6193578048470072	0.631921078053275	0.6409413560298257	0.6474564389388588	0.6521824343107968	0.6556188509865883	0.6581174989622619	0.6599280684482987	0.6612287112061488	0.6621468654090608	0.6627736273261702	0.6631737784101627	0.6633928376984228	0.6634620464332703	0.6634018961443132	0.6632246187963945	0.6629359296726839	0.6625362273087957	0.6620213958033003	0.6613833143631717
