mA	mB	mU	robustness	minRange	maxRange	min(CoRa)	optimalRho	negative_sol	oscilations	other_errors	negative_CoRa	Greater_CoRa	steady_state	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
0.0087	0.0087	1.5399	0.0	NaN	NaN	1.000000077508058	0.001	6.0	0.0	0.0	0.0	24.0	NaN	1.000000077508058	1.0000001248964157	1.0000002013448288	1.0000003248126372	1.000000524580923	1.0000008487479757	1.0000013772657141	1.0000022455446436	1.0000036897056752	1.000006140313801	1.000010437208491	1.0000183903074777	1.0000345170589895	1.0000728928653884	1.0001965140445668	1.0009426745542482	1.005806216872948	1.0112521192794655	1.0188215388478497	1.0315142689457644	1.0539975429326685	1.097050980810374	1.1940506576137115	1.5536949171152188	NaN	NaN	NaN	NaN	NaN	NaN
8.6596	8.6596	0.0015	0.0	NaN	NaN	1.0000000000371927	1000.0	1.0	0.0	0.0	0.0	29.0	NaN	1.0003540212231885	1.002988020285576	NaN	1.0001027854251607	1.0000322227449097	1.0000120889850865	1.0000051458385713	1.0000024171436213	1.0000012284716853	1.000000663850821	1.0000003754473132	1.0000002192822421	1.0000001309016575	1.0000000792751336	1.000000048457555	1.000000029795612	1.0000000183891429	1.000000011375895	1.0000000070476358	1.0000000043701545	1.0000000027114146	1.0000000016828643	1.0000000010446999	1.000000000648636	1.0000000004027558	1.0000000002500933	1.000000000155302	1.0000000000964424	1.0000000000598956	1.0000000000371927
273.842	0.2738	48.6968	0.0	NaN	NaN	1.0000000000000477	0.001	0.0	0.0	0.0	0.0	30.0	NaN	1.0000000000000477	1.000000000000078	1.0000000000001343	1.0000000000002123	1.0000000000003382	1.0000000000005504	1.0000000000008842	1.000000000001426	1.0000000000022928	1.0000000000036928	1.000000000005951	1.0000000000095788	1.0000000000154345	1.0000000000248572	1.0000000000400273	1.0000000000644467	1.000000000103776	1.0000000001671305	1.0000000002691511	1.0000000004334773	1.0000000006981902	1.0000000011247674	1.0000000018124513	1.0000000029218232	1.0000000047134785	1.0000000076122648	1.0000000123158914	1.0000000199837435	1.000000032577784	1.0000000535130313
0.2738	273.842	0.0487	0.0	NaN	NaN	1.0000000000381897	1000.0	4.0	0.0	0.0	0.0	26.0	NaN	NaN	NaN	NaN	NaN	1.0000056975844693	1.0000035340512052	1.0000021930685814	1.0000013613014207	1.0000008451477744	1.0000005247571901	1.0000003258468915	1.0000002023424668	1.0000001256527244	1.0000000780303884	1.0000000484573905	1.000000030092559	1.0000000186878668	1.000000011605435	1.0000000072071598	1.0000000044757595	1.000000002779524	1.0000000017261164	1.0000000010719496	1.0000000006657004	1.0000000004134095	1.0000000002567333	1.0000000001594371	1.0000000000990126	1.0000000000614861	1.0000000000381897
0.0487	0.0487	0.0087	0.0	NaN	NaN	1.0000000383593024	1000.0	1.0	0.0	0.0	0.0	29.0	NaN	1.0016885359096384	1.003235511395638	1.0070325848707409	1.019773024238121	1.1218413799388256	NaN	1.0050703187270882	1.002444672244455	1.0012582757761093	1.0006836134330948	1.0003873560325436	1.0002263379601037	1.0001351051359688	1.0000818055883356	1.0000499954945765	1.0000307371299708	1.0000189684574876	1.0000117335442542	1.000007268921417	1.00000450725655	1.0000027964347045	1.0000017356121784	1.0000010774507675	1.0000006689633059	1.0000004153789765	1.0000002579347984	1.000000160173166	1.0000000994668927	1.0000000617693334	1.0000000383593024
48.6968	48.6968	8.6596	0.0	NaN	NaN	1.0000000016064032	0.001	3.0	0.0	7.0	0.0	20.0	NaN	1.0000000016064032	1.0000000025871896	1.0000000041672488	1.0000000067134878	1.0000000108185263	1.000000017441609	1.0000000281399584	1.0000000454541995	1.0000000735618584	1.0000001194174832	1.000000194824304	1.0000003204181933	1.0000005339250206	1.0000009089785489	1.0000016033742285	1.0000030028769327	1.0000062478429608	1.000015884672272	1.00006442465124	1.003448903513703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.5399	0.0015	0.2738	0.0	NaN	NaN	1.000000001554127	0.001	3.0	0.0	0.0	0.0	27.0	NaN	1.000000001554127	1.0000000025025624	1.000000004029817	1.0000000064891443	1.0000000104494737	1.000000016827019	1.0000000270975167	1.000000043638272	1.000000070279864	1.0000001131970477	1.0000001823496865	1.0000002938195809	1.000000473616611	1.0000007639197053	1.0000012334200432	1.0000019947463847	1.000003234561007	1.000005267471439	1.0000086376996378	1.0000143245176174	1.0000241957510885	1.0000421255466427	1.0000771592136266	1.0001542946815758	1.0003627848157763	1.0012068048191907	1.0134104365878605	NaN	NaN	NaN
0.0015	1.5399	273.842	0.0	NaN	NaN	1.0000000022828914	0.001	0.0	0.0	0.0	0.0	30.0	NaN	1.0000000022828914	1.0000000036882655	1.000000005970949	1.0000000096981538	1.000000015835921	1.0000000260823072	1.0000000435678618	1.00000007448066	1.0000001323204157	1.0000002507708905	1.000000529616019	1.0000013175618068	1.000003658014577	1.0000082131693757	1.0000145635766942	1.0000240285983142	1.00003896283626	1.0000628834785998	1.000101347226267	1.0001632702261354	1.000263012835453	1.0004237396329931	1.000682871626565	1.0011009857713304	1.0017764641948168	1.0028699253975668	1.004645809525356	1.0075454229822298	1.0123214806408436	1.020303902733816
0.0019	0.0392	16.5482	0.0	NaN	NaN	1.0000000128385642	0.001	0.0	0.0	0.0	0.0	30.0	NaN	1.0000000128385642	1.0000000206974375	1.000000033390612	1.000000053929748	1.0000000872635761	1.0000001416222242	1.0000002309536622	1.000000379596297	1.0000006319439567	1.0000010744633712	1.0000018922425895	1.0000035374200542	1.0000073311767157	1.0000180717218068	1.00005430092522	1.000140874434387	1.0002610543645774	1.000433980552923	1.0007051599295158	1.001139813007811	1.0018407803568354	1.0029750602782608	1.0048174579855729	1.0078270206391347	1.0127882945330577	1.021092122083477	1.0353550890697143	1.0610069902132355	1.111388881735655	1.2319363594929063
1.911	39.2419	0.0165	0.0	NaN	NaN	1.0000000000902791	1000.0	18.0	0.0	3.0	0.0	9.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0000000040812909	1.000000002534506	1.0000000015739565	1.0000000009774446	1.0000000006070096	1.0000000003769538	1.0000000002340999	1.0000000001453724	1.0000000000902791
